title,link,published,source,region,country_code,year_bucket
IEEE GLOBECOM 2025登場 6G技術、AI智慧應用聚焦,http://www.bing.com/news/apiclick.aspx?ref=FexRss&aid=&tid=6964de88b205463baaa146e5db449bec&url=https%3a%2f%2fwww.ctee.com.tw%2fnews%2f20251210700066-439901&c=15621179792641356323&mkt=zh-tw,2025-12-09 16:00:00,Bing News,Taiwan,TW,2025
眺望2025／AI、6G、衛星串起通訊大未來,http://www.bing.com/news/apiclick.aspx?ref=FexRss&aid=&tid=6964de88b205463baaa146e5db449bec&url=https%3a%2f%2fudn.com%2fnews%2fstory%2f6905%2f8443698&c=9023904648665141327&mkt=zh-tw,2024-12-23 07:32:00,Bing News,Taiwan,TW,2025
愛立信：6G商業化最快2029年到來 台廠供應鏈須提前準備,http://www.bing.com/news/apiclick.aspx?ref=FexRss&aid=&tid=6964de8ca3f346c6a1d0123b73691bf5&url=https%3a%2f%2fwww.ctee.com.tw%2fnews%2f20251230700846-430502&c=7356277109653219235&mkt=zh-tw,2025-12-29 19:54:00,Bing News,Taiwan,TW,2026
6G起步晚？電信業擬通盤檢討5G資費,http://www.bing.com/news/apiclick.aspx?ref=FexRss&aid=&tid=6964de8ca3f346c6a1d0123b73691bf5&url=https%3a%2f%2fwww.ctee.com.tw%2fnews%2f20260106700163-439901&c=17614772549153106813&mkt=zh-tw,2026-01-05 11:00:00,Bing News,Taiwan,TW,2026
愛立信預測6G五年內商轉 台灣5G獨立組網布建進度成關鍵,http://www.bing.com/news/apiclick.aspx?ref=FexRss&aid=&tid=6964de8ca3f346c6a1d0123b73691bf5&url=https%3a%2f%2fnews.cnyes.com%2fnews%2fid%2f6293359&c=7671024000828753287&mkt=zh-tw,2025-12-30 01:51:00,Bing News,Taiwan,TW,2026
晶片、網通廠搶6G 先機,http://www.bing.com/news/apiclick.aspx?ref=FexRss&aid=&tid=6964de8ca3f346c6a1d0123b73691bf5&url=https%3a%2f%2fmoney.udn.com%2fmoney%2fstory%2f5607%2f9235554&c=12587813603860560310&mkt=zh-tw,2025-12-30 07:58:00,Bing News,Taiwan,TW,2026
南京啟動6G產業聯盟建設,http://www.bing.com/news/apiclick.aspx?ref=FexRss&aid=&tid=6964de8ca3f346c6a1d0123b73691bf5&url=https%3a%2f%2ffinance.people.com.cn%2fBIG5%2fn1%2f2026%2f0109%2fc1004-40641764.html&c=15567265848188009250&mkt=zh-tw,2026-01-08 14:41:00,Bing News,Taiwan,TW,2026
韓國5G用戶達737萬 2026年啟動6G試行計畫,http://www.bing.com/news/apiclick.aspx?ref=FexRss&aid=&tid=6964de8ca3f346c6a1d0123b73691bf5&url=https%3a%2f%2ftw.news.yahoo.com%2f%25E9%259F%2593%25E5%259C%258B5g%25E7%2594%25A8%25E6%2588%25B6%25E9%2581%2594737%25E8%2590%25AC-2026%25E5%25B9%25B4%25E5%2595%259F%25E5%258B%25956g%25E8%25A9%25A6%25E8%25A1%258C%25E8%25A8%2588%25E5%258A%2583-081500620.html&c=7406581680806176858&mkt=zh-tw,2020-08-11 18:00:00,Bing News,Taiwan,TW,2026
工研院「眺望2026產業發展趨勢研討會」 通訊場次 聚焦6G、低軌衛星、資安標準與智慧城市,http://www.bing.com/news/apiclick.aspx?ref=FexRss&aid=&tid=6964de8ca3f346c6a1d0123b73691bf5&url=https%3a%2f%2fmoney.udn.com%2fmoney%2fstory%2f5635%2f9107741&c=8895694139317538863&mkt=zh-tw,2025-10-30 14:22:00,Bing News,Taiwan,TW,2026
愛立信:明年是6G分水嶺，2031年底用戶數達1.8億,http://www.bing.com/news/apiclick.aspx?ref=FexRss&aid=&tid=6964de8ca3f346c6a1d0123b73691bf5&url=https%3a%2f%2fwww.moneydj.com%2fkmdj%2fnews%2fnewsviewer.aspx%3fa%3d9e44faf2-7716-4296-b2fa-83a586c4f729%26c%3dMB07&c=8005885711385187804&mkt=zh-tw,2025-12-29 19:50:00,Bing News,Taiwan,TW,2026
中國信通院：我國預計2030年左右啟動6G商業應用,http://www.bing.com/news/apiclick.aspx?ref=FexRss&aid=&tid=6964de8ca3f346c6a1d0123b73691bf5&url=https%3a%2f%2ffinance.people.com.cn%2fBIG5%2fn1%2f2025%2f1214%2fc1004-40623950.html&c=18068169550147958591&mkt=zh-tw,2025-12-14 06:33:00,Bing News,Taiwan,TW,2026
南京が「6G都市」の構築へ,http://www.bing.com/news/apiclick.aspx?ref=FexRss&aid=&tid=6964de8ca3f346c6a1d0123b73691bf5&url=https%3a%2f%2fwww.msn.com%2fja-jp%2fmoney%2fother%2f%25E5%258D%2597%25E4%25BA%25AC%25E3%2581%258C-6g%25E9%2583%25BD%25E5%25B8%2582-%25E3%2581%25AE%25E6%25A7%258B%25E7%25AF%2589%25E3%2581%25B8-%25E4%25B8%25AD%25E5%259B%25BD%2far-AA1TAPQJ&c=4852919745678418151&mkt=zh-tw,2026-01-05 00:40:19,Bing News,Taiwan,TW,2026
